COMPANY,A01C,A01G,A01H,A01K,A01M,A01N,A01P,A21D,A23B,A23C,A23D,A23F,A23G,A23J,A23K,A23L,A23P,A24B,A24F,A41D,A44B,A45B,A45C,A45D,A47C,A47F,A47G,A47K,A47L,A61B,A61C,A61D,A61F,A61G,A61H,A61J,A61K,A61L,A61M,A61N,A61P,A61Q,A62B,A62D,A63B,A63F,B01D,B01F,B01J,B01L,B02C,B03B,B03C,B04B,B04C,B05B,B05C,B05D,B06B,B07B,B07C,B08B,B09B,B21D,B23K,B23P,B24B,B24D,B25H,B25J,B26D,B26F,B27K,B27N,B28B,B29B,B29C,B29D,B29K,B29L,B30B,B31B,B32B,B33Y,B41F,B41J,B41K,B41M,B43K,B43M,B60C,B60J,B60K,B60N,B60R,B63B,B64D,B65B,B65C,B65D,B65G,B65H,B66B,B66F,B67B,B67C,B67D,B81B,B81C,B82Y,C01B,C01D,C01F,C01G,C02F,C03B,C03C,C04B,C05B,C05D,C05G,C06B,C06D,C07B,C07C,C07D,C07H,C07K,C07M,C08B,C08C,C08F,C08G,C08H,C08J,C08K,C08L,C09B,C09C,C09D,C09F,C09J,C09K,C10B,C10G,C10L,C10M,C10N,C11B,C11C,C11D,C12C,C12F,C12G,C12H,C12J,C12M,C12N,C12P,C12Q,C12R,C13B,C22B,C22C,C23C,C23F,C25B,C25D,C25F,C30B,C40B,C01F,C02G,C03D,C04B,D04C,D04H,D06M,D06P,D21B,D21C,D21H,E01B,E02B,E04B,E04C,E04F,E04H,E06B,E06C,F21B,F01N,F15B,F16B,F16C,F16D,F16F,F16K,F17C,F21S,F21V,F21Y,F23J,F23Q,F24F,F26B,F28D,G01B,G01D,G01F,C01G,G01H,G01J,G01M,G01P,G01R,G01V,G02B,G02C,G02F,G03B,G03C,G03F,G03G,G04F,G05B,G05F,G06G,C06K,G06M,G06N,G06Q,C07F,G07G,G08B,C08G,G09B,G09F,C09G,G11B,G11C,G16B,G16C,G16H,G21F,G21G,G21K,H01B,H01F,H01G,H01H,H01J,H01L,H01M,H01Q,H01R,H01S,H01T,H02H,H02J,H02K,H02M,H02N,H03L,H03M,H04B,H04L,H04N,H04R,H04W,H05B,H05K
ASKA PHARMA HOLDINGS,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,461,3,1,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTELLAS PHARMA INC,0,0,0,21,0,32,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,17,4707,18,8,0,3800,3,0,0,1,4,5,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,74,7,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,6,5,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BIOFERMIN PHARMA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,78,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUGAI PHARMA,1,0,0,67,25,63,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0,25,2261,24,13,0,2354,4,0,0,0,0,20,5,18,0,0,0,0,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,16,0,1,1,2,5,23,0,0,3,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,6,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
DAIICHI SANKYO CO LTD,0,1,0,15,0,31,4,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,25,6073,38,7,4,6105,57,0,0,0,0,12,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,0,0,6,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,1,0,1,3,0,0,0,1,1,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4,0,0,1,1,4,0,0,1,0,0,1,0,0,0,0,0,0
DAINIPPON SUMITOMO,0,0,1,14,0,8,1,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1,1,0,2,3270,51,2,1,3713,13,0,0,0,0,3,1,9,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,1,0,2,9,0,0,0,3,1,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2
DAITO PHARMA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,23,0,0,0,0,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIKEN CHEMICAL CO LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,4,0,0,0,0,0,11,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EISAI CO LTD,0,0,0,22,0,50,1,0,0,0,2,0,0,0,2,76,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,72,1,0,41,4221,27,8,4,3556,13,0,0,0,0,2,5,34,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,26,0,1,0,0,5,0,0,0,1,1,2,1,0,0,28,3,52,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,1,3,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0
FUJI PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
